name,label
"a cajun life, all purpose cajun seasoning, upc: 095225879272",Cajun seasoning
"alcoholic beverage, beer, regular, all",Beer
"alcoholic beverage, distilled, gin, 90 proof",Gin
"alcoholic beverage, distilled, rum, 80 proof",Rum
"alcoholic beverage, distilled, vodka, 80 proof",Vodka
"alcoholic beverage, distilled, whiskey, 86 proof",Whiskey
"alcoholic beverage, liqueur, coffee, 53 proof",Coffee liqueur
"alcoholic beverage, tequila sunrise, canned",Canned tequila
"amazonas rainforest product, tapioca starch, upc: 742987126365",Tapioca starch
"animal fat, bacon grease",Bacon grease
"apple juice, canned or bottled, unsweetened, without added ascorbic acid",Apple juice
"apples, raw, with skin",Apples
"applesauce, canned, unsweetened, without added ascorbic acid (includes usda commodity)",Applesauce
"apricots, dried, sulfured, uncooked",Dried apricots
"artichokes, (globe or french), raw",Artichokes
"arugula, raw",Arugula
"asparagus, raw",Asparagus
"avocados, raw, all commercial varieties",Avocados
"bacon, meatless",Meatless bacon
"baking chocolate, mars snackfood us, m&m's milk chocolate mini baking bits",Baking chocolate
"bananas, raw",Bananas
"barley, hulled",Hulled barley
"beans, adzuki, mature seeds, raw",Adzuki beans
"beans, kidney, all types, mature seeds, raw",Kidney beans
"beans, snap, green, raw",Snap-beans
"beef, flank, steak, separable lean and fat, trimmed to 0”",Flank steak
"beef, grass-fed, ground, raw",Ground beef
"beef, flank, steak, separable lean and fat, trimmed to 0"" fat, all grades, cooked, broiled",Flank steak
"beef, rib eye steak, boneless, lip off, separable lean and fat, trimmed to 0"" fat, all grades, cooked, grilled",Rib-eye steak
"beets, raw",Raw beets
"beverages, almond milk, unsweetened, shelf stable",Almond milk
"beverages, carbonated, cola, regular",Cola
"beverages, carbonated, ginger ale",Ginger ale
"beverages, carbonated, root beer",Root beer
"beverages, gerolsteiner brunnen gmbh & co. kg,gerolsteiner naturally sparkling mineral water,",Carbonated water
"beverages, ovaltine, classic malt powder",Ovaltine
"beverages, protein powder whey based",Whey protein powder
"blackberries, raw",Blackberries
"blueberries, raw",Blueberries
"bread crumbs, dry, grated, plain",Breadcrumbs
"broccoli, raw",Broccoli
"brussels sprouts, raw",Brussels sprouts
"bulgur, dry",Bulgur
"butter, salted",Salted butter
"butter, without salt",Unsalted butter
"cabbage, raw",Cabbage
"candies, caramels",Caramels
"candies, dark chocolate coated coffee beans",Chocolate coated coffee beans
"candies, marshmallows",Marshmallows
"candies, nestle, after eight mints",Mints
"candies, semisweet chocolate",Semisweet chocolate
"candies, toffee, prepared-from-recipe",Toffee
"candies, white chocolate",White chocolate
"capers, canned",Capers
carob flour,Carob flour
"carrots, raw",Carrots
catsup,Ketchup
"cauliflower, raw",Cauliflower
"celery, raw",Celery
"cereals ready-to-eat, granola, homemade",Granola
"cereals ready-to-eat, quaker, mother's toasted oat bran cereal",Bran cereal
"cereals, oats, regular and quick, unenriched, cooked with water (includes boiling and microwaving), without salt",Cereal oats
"cheese, blue",Blue cheese
"cheese, brie",Brie cheese
"cheese, cheddar",Cheddar cheese
"cheese, cottage, creamed, large or small curd",Cottage cheese
"cheese, feta",Feta cheese
"cheese, fontina",Fontina cheese
"cheese, goat, soft type",Goat cheese
"cheese, gouda",Gouda cheese
"cheese, gruyere",Gruyere cheese
"cheese, mozzarella, low sodium",Mozzarella cheese
"cheese, neufchatel",Neufchatel cheese
"cheese, parmesan, hard",Parmesan cheese
"cheese, pasteurized process, american, without added vitamin d",American cheese
"cheese, provolone",Provolone cheese
"cheese, ricotta, whole milk",Ricotta cheese
"cheese, roquefort",Roquefort cheese
"cherries, sweet, raw",Cherries
"chicken, broiler or fryers, breast, skinless, boneless, meat only, raw",Chicken breast
"chicken, broilers or fryers, wing, meat and skin, raw",Chicken wing
"chicken, liver, all classes, raw",Chicken liver
chickpea flour (besan),Chickpea flour
"chickpeas (garbanzo beans, bengal gram), mature seeds, raw",Chickpeas
"chives, raw",Chives
